labor_id,presence,present_api_flag,present_local_flag,any_field_mismatch,mismatch_field_count,service_id_api,service_id_local,mismatch__service_id,created_at_api,created_at_local,mismatch__created_at,city_code_api,city_code_local,mismatch__city_code,department_code_api,department_code_local,mismatch__department_code,start_address_id_api,start_address_id_local,mismatch__start_address_id,start_address_point_api,start_address_point_local,mismatch__start_address_point,end_address_id_api,end_address_id_local,mismatch__end_address_id,end_address_point_api,end_address_point_local,mismatch__end_address_point,labor_type_api,labor_type_local,mismatch__labor_type,labor_name_api,labor_name_local,mismatch__labor_name,labor_category_api,labor_category_local,mismatch__labor_category,schedule_date_api,schedule_date_local,mismatch__schedule_date,labor_sequence_api,labor_sequence_local,mismatch__labor_sequence,address_id_api,address_id_local,mismatch__address_id,address_point_api,address_point_local,mismatch__address_point,state_api,service_schedule_date_api,city_name_api,department_name_api,location_resolution_status_api,payload_labor_schedule_date_api,assigned_driver_api,actual_start_api,actual_end_api,shop_id_api,shop_address_id_api,shop_address_point_api,source_department_dir_api,alfred_local,shop_local,labor_created_at_local,labor_start_date_local,labor_end_date_local
503024,both,1,1,False,0,399335,399335,False,2026-02-04T14:53:27.276355-05:00,2026-02-04T14:53:27.276000-05:00,False,1,1,False,5,5,False,117281,117281,False,POINT (-75.56979539999999 6.2198631),POINT (-75.56979539999999 6.2198631),False,188305,188305,False,POINT (-75.5724501 6.1627934),POINT (-75.5724501 6.1627934),False,12,12,False,Alfred Initial Transport,Alfred Initial Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-19T13:30:00-05:00,2026-02-19T13:30:00-05:00,False,1,1,False,,,False,,,False,REQUESTED,2026-02-19T13:30:00-05:00,MEDELLIN,ANTIOQUIA,resolved,2026-02-19T13:30:00-05:00,5455,,,,,,5,,,2026-02-04T14:53:27.330000-05:00,,
503120,both,1,1,False,0,399422,399422,False,2026-02-04T16:12:31.297741-05:00,2026-02-04T16:12:31.297000-05:00,False,149,149,False,25,25,False,125253,125253,False,POINT (-74.1188902 4.6992568),POINT (-74.1188902 4.6992568),False,125253,125253,False,POINT (-74.1188902 4.6992568),POINT (-74.1188902 4.6992568),False,12,12,False,Alfred Initial Transport,Alfred Initial Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-24T09:00:00-05:00,2026-02-24T09:00:00-05:00,False,2,2,False,,,False,,,False,TO_BE_CONFIRMED,2026-02-24T09:00:00-05:00,BOGOTA D.C.,CUNDINAMARCA,resolved,2026-02-24T09:00:00-05:00,,,,,,,25,,,2026-02-04T16:12:31.339000-05:00,,
503121,both,1,1,True,3,399422,399422,False,2026-02-04T16:12:31.297741-05:00,2026-02-04T16:12:31.297000-05:00,False,149,149,False,25,25,False,125253,125253,False,POINT (-74.1188902 4.6992568),POINT (-74.1188902 4.6992568),False,125253,125253,False,POINT (-74.1188902 4.6992568),POINT (-74.1188902 4.6992568),False,4,4,False,Tecnomecanica,Tecnomecanica,False,SAFETI_INSPECTION,SAFETI_INSPECTION,False,2026-02-24T12:30:00-05:00,2026-02-24T09:00:00-05:00,True,3,3,False,,178711.0,True,,POINT (-74.1554709 4.6832376),True,TO_BE_CONFIRMED,2026-02-24T09:00:00-05:00,BOGOTA D.C.,CUNDINAMARCA,resolved,2026-02-24T12:30:00-05:00,,,,4375,178711,POINT (-74.1554709 4.6832376),25,,4375.0,2026-02-04T16:12:31.379000-05:00,,
503122,both,1,1,True,1,399422,399422,False,2026-02-04T16:12:31.297741-05:00,2026-02-04T16:12:31.297000-05:00,False,149,149,False,25,25,False,125253,125253,False,POINT (-74.1188902 4.6992568),POINT (-74.1188902 4.6992568),False,125253,125253,False,POINT (-74.1188902 4.6992568),POINT (-74.1188902 4.6992568),False,2,2,False,Alfred Transport,Alfred Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-24T13:00:00-05:00,2026-02-24T09:00:00-05:00,True,4,4,False,,,False,,,False,TO_BE_CONFIRMED,2026-02-24T09:00:00-05:00,BOGOTA D.C.,CUNDINAMARCA,resolved,2026-02-24T13:00:00-05:00,,,,,,,25,,,2026-02-04T16:12:31.420000-05:00,,
503123,local_only,0,1,False,0,,399423,False,,2026-02-04T16:13:42.295000-05:00,False,,149,False,,25,False,,125253,False,,POINT (-74.1188902 4.6992568),False,,125253,False,,POINT (-74.1188902 4.6992568),False,,12,False,,Alfred Initial Transport,False,,VEHICLE_TRANSPORTATION,False,,2026-02-24T12:00:00-05:00,False,,1,False,,,False,,,False,,,,,,,,,,,,,,,,2026-02-04T16:13:42.337000-05:00,,
503124,local_only,0,1,False,0,,399423,False,,2026-02-04T16:13:42.295000-05:00,False,,149,False,,25,False,,125253,False,,POINT (-74.1188902 4.6992568),False,,125253,False,,POINT (-74.1188902 4.6992568),False,,3,False,,Wash and Polish,False,,WASH_AND_POLISH,False,,2026-02-24T12:00:00-05:00,False,,2,False,,72261.0,False,,POINT (-74.1089748 4.6597407),False,,,,,,,,,,,,,,,934.0,2026-02-04T16:13:42.384000-05:00,,
503125,local_only,0,1,False,0,,399423,False,,2026-02-04T16:13:42.295000-05:00,False,,149,False,,25,False,,125253,False,,POINT (-74.1188902 4.6992568),False,,125253,False,,POINT (-74.1188902 4.6992568),False,,2,False,,Alfred Transport,False,,VEHICLE_TRANSPORTATION,False,,2026-02-24T12:00:00-05:00,False,,3,False,,,False,,,False,,,,,,,,,,,,,,,,2026-02-04T16:13:42.423000-05:00,,
503383,both,1,1,False,0,399668,399668,False,2026-02-05T08:38:31.384986-05:00,2026-02-05T08:38:31.384000-05:00,False,1,1,False,5,5,False,188384,188384,False,POINT (-75.5914068 6.2315137),POINT (-75.5914068 6.2315137),False,102162,102162,False,POINT (-75.564082 6.2082589),POINT (-75.564082 6.2082589),False,12,12,False,Alfred Initial Transport,Alfred Initial Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-24T16:00:00-05:00,2026-02-24T16:00:00-05:00,False,1,1,False,,,False,,,False,REQUESTED,2026-02-24T16:00:00-05:00,MEDELLIN,ANTIOQUIA,resolved,2026-02-24T16:00:00-05:00,4555,,,,,,5,,,2026-02-05T08:38:31.434000-05:00,,
503494,both,1,1,False,0,399777,399777,False,2026-02-05T10:33:40.722587-05:00,2026-02-05T10:33:40.722000-05:00,False,1,1,False,5,5,False,188411,188411,False,POINT (-75.5731243 6.184122800000001),POINT (-75.5731243 6.184122800000001),False,117281,117281,False,POINT (-75.56979539999999 6.2198631),POINT (-75.56979539999999 6.2198631),False,12,12,False,Alfred Initial Transport,Alfred Initial Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-19T07:00:00-05:00,2026-02-19T07:00:00-05:00,False,1,1,False,,,False,,,False,REQUESTED,2026-02-19T07:00:00-05:00,MEDELLIN,ANTIOQUIA,resolved,2026-02-19T07:00:00-05:00,5455,,,,,,5,,,2026-02-05T10:33:40.772000-05:00,,
504072,both,1,1,False,0,400326,400326,False,2026-02-06T08:22:37.135256-05:00,2026-02-06T08:22:37.135000-05:00,False,1,1,False,5,5,False,130163,130163,False,POINT (-75.56719989999999 6.188821),POINT (-75.56719989999999 6.188821),False,4852,4852,False,POINT (-75.56991479999999 6.2276503),POINT (-75.56991479999999 6.2276503),False,12,12,False,Alfred Initial Transport,Alfred Initial Transport,False,VEHICLE_TRANSPORTATION,VEHICLE_TRANSPORTATION,False,2026-02-19T11:00:00-05:00,2026-02-19T11:00:00-05:00,False,1,1,False,,,False,,,False,REQUESTED,2026-02-19T11:00:00-05:00,MEDELLIN,ANTIOQUIA,resolved,2026-02-19T11:00:00-05:00,5455,,,,,,5,,,2026-02-06T08:22:37.205000-05:00,,
