service_id,labor_id,labor_sequence,assigned_driver,actual_status,actual_start,actual_end,is_infeasible,infeasibility_cause_code,infeasibility_cause_detail,reassignment_candidate
391861,495284,1,10500,COMPLETED,2026-02-24 08:13:47.375288-05:00,2026-02-24 09:02:59.778456-05:00,False,,,False
392107,495534,1,719,COMPLETED,2026-02-24 08:30:00-05:00,2026-02-24 09:34:43.543402-05:00,False,,,False
398197,501831,1,3214,COMPLETED,2026-02-24 07:06:01.512128-05:00,2026-02-24 07:54:51.073077-05:00,False,,,False
399422,504180,1,,COMPLETED,2026-02-24 09:00:00-05:00,2026-02-24 09:30:00-05:00,False,,,False
399422,503120,2,10500,COMPLETED,2026-02-24 09:30:00-05:00,2026-02-24 10:02:26.846189-05:00,False,,,False
399422,503121,3,,COMPLETED,2026-02-24 10:02:26.846189-05:00,2026-02-24 10:32:26.846189-05:00,False,,,False
399422,503122,4,69861,COMPLETED,2026-02-24 10:32:26.846189-05:00,2026-02-24 11:23:35.542316-05:00,False,,,False
403022,506837,1,68168,COMPLETED,2026-02-24 13:00:00-05:00,2026-02-24 13:50:13.407446-05:00,False,,,False
403356,507190,1,211,COMPLETED,2026-02-24 07:09:01.743834-05:00,2026-02-24 07:56:33.396153-05:00,False,,,False
403357,507191,1,68168,COMPLETED,2026-02-24 12:00:00-05:00,2026-02-24 12:47:31.652319-05:00,False,,,False
404322,508222,1,211,COMPLETED,2026-02-24 07:58:53.749435-05:00,2026-02-24 08:48:12.032461-05:00,False,,,False
404649,508560,1,3214,COMPLETED,2026-02-24 08:02:59.607986-05:00,2026-02-24 08:52:13.114181-05:00,False,,,False
404969,508895,1,68168,COMPLETED,2026-02-24 08:06:51.285528-05:00,2026-02-24 08:52:34.094609-05:00,False,,,False
405244,509186,1,211,COMPLETED,2026-02-24 11:00:00-05:00,2026-02-24 11:49:33.621419-05:00,False,,,False
405568,509516,1,11988,COMPLETED,2026-02-24 08:13:45.570394-05:00,2026-02-24 09:00:30.381454-05:00,False,,,False
405711,509661,1,,FAILED,,,True,assignment_failed_unassigned,No feasible driver assignment was found for this labor/service.,False
405800,509753,1,69861,COMPLETED,2026-02-24 08:30:00-05:00,2026-02-24 09:18:40.818453-05:00,False,,,False
