,day,service_count,vt_count,num_drivers,labores_por_conductor,utilizacion_promedio_%,labor_extra_time,driver_extra_time,total_distance,driver_move_distance,algo
0,2025-07-21,70,78,31,2.516,30.0,1598.9,2637.9,0.0,546.0079556398352,Histórico
1,2025-07-22,90,96,28,3.429,43.3,1791.8,3200.4,0.0,637.3825571422113,Histórico
2,2025-07-23,81,87,27,3.222,36.3,1393.9,2566.0,0.0,610.2462713864303,Histórico
3,2025-07-24,92,95,30,3.167,37.3,1789.7,3233.4,0.0,681.7949115632829,Histórico
4,2025-07-25,77,87,31,2.806,32.2,1373.4,2582.5,0.0,609.7979566670559,Histórico
5,2025-07-26,28,32,16,2.0,23.2,683.0,1170.0,0.0,198.7755864797307,Histórico
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Histórico
0,2025-07-21,71,80,27,2.963,35.3,1613.1,2273.9,0.0,373.9352416981181,Offline
1,2025-07-22,90,96,25,3.84,48.5,1871.3,2679.2,0.0,423.01266545370595,Offline
2,2025-07-23,82,88,23,3.826,43.1,1400.8,2133.3,0.0,366.75876796944425,Offline
3,2025-07-24,92,95,28,3.393,40.0,1811.1,2763.4,0.0,489.7483231423476,Offline
4,2025-07-25,77,87,27,3.222,37.0,1440.4,2265.9,0.0,386.10084660543924,Offline
5,2025-07-26,27,32,13,2.462,28.7,633.0,1080.0,0.0,131.51954226981115,Offline
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Offline
0,2025-07-21,71,80,29,2.759,32.6,1568.5,2221.2,0.0,497.8701758404283,INSERT
1,2025-07-22,90,96,26,3.692,46.7,1844.7,2565.8,0.0,657.3120324858528,INSERT
2,2025-07-23,82,88,24,3.667,41.3,1429.6,2167.5,0.0,420.9720075673692,INSERT
3,2025-07-24,91,94,29,3.241,38.2,1943.5,2792.5,0.0,632.5253414439883,INSERT
4,2025-07-25,77,87,29,3.0,34.3,1384.0,2297.8,0.0,479.8611951022185,INSERT
5,2025-07-26,27,32,15,2.133,25.2,633.0,1080.0,0.0,138.13758233980363,INSERT
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,INSERT
0,2025-07-21,71,80,26,3.077,36.4,1568.5,2221.2,0.0,337.33086144673837,INSERT_BUFFER
1,2025-07-22,90,96,24,4.0,50.6,1824.3,2541.7,0.0,401.06000737365605,INSERT_BUFFER
2,2025-07-23,82,88,23,3.826,43.1,1408.4,2146.4,0.0,333.9488415220876,INSERT_BUFFER
3,2025-07-24,91,94,27,3.481,41.1,1933.7,2847.4,0.0,449.0662048480567,INSERT_BUFFER
4,2025-07-25,77,87,27,3.222,36.9,1434.4,2352.0,0.0,361.8056750838006,INSERT_BUFFER
5,2025-07-26,27,32,14,2.286,26.9,633.0,1080.0,0.0,134.34130614914542,INSERT_BUFFER
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,INSERT_BUFFER
0,2025-07-21,71,79,26,3.038,36.0,1552.4,2205.1,0.0,342.5197394893123,REACT
1,2025-07-22,90,95,25,3.8,47.9,1829.0,2549.6,0.0,415.6875550009588,REACT
2,2025-07-23,80,83,23,3.609,40.7,1404.2,2139.3,0.0,295.2634190504521,REACT
3,2025-07-24,91,94,28,3.357,39.6,1996.9,2889.7,0.0,438.3563416870223,REACT
4,2025-07-25,77,85,26,3.269,37.1,1388.5,2279.1,0.0,351.52284284610727,REACT
5,2025-07-26,27,31,15,2.067,22.9,633.0,1080.0,0.0,132.6022499591454,REACT
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,REACT
0,2025-07-21,71,79,27,2.926,34.7,1552.3,2205.1,0.0,343.6947129616913,REACT_BUFFER
1,2025-07-22,90,94,26,3.615,45.9,1796.5,2503.7,0.0,389.8217408928697,REACT_BUFFER
2,2025-07-23,80,83,23,3.609,39.1,1402.4,2140.4,0.0,293.0032865278953,REACT_BUFFER
3,2025-07-24,91,94,28,3.357,39.6,1931.5,2842.4,0.0,444.32253369281216,REACT_BUFFER
4,2025-07-25,77,85,27,3.148,35.8,1403.4,2286.3,0.0,362.11177608824846,REACT_BUFFER
5,2025-07-26,27,31,15,2.067,22.9,633.0,1080.0,0.0,132.6022499591454,REACT_BUFFER
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,REACT_BUFFER
