,day,service_count,vt_count,num_drivers,labores_por_conductor,utilizacion_promedio_%,labor_extra_time,driver_extra_time,total_distance,driver_move_distance,algo
0,2025-07-21,70,78,31,2.516,32.5,1763.4,2674.4,0.0,758.072,Histórico
1,2025-07-22,88,94,28,3.357,44.8,1831.2,3129.1,0.0,883.7394,Histórico
2,2025-07-23,81,87,27,3.222,38.7,1488.6,2592.1,0.0,854.8908,Histórico
3,2025-07-24,92,95,30,3.167,40.9,2041.6,3357.4,0.0,989.6646,Histórico
4,2025-07-25,76,86,31,2.774,34.4,1494.4,2623.7,0.0,839.0622,Histórico
5,2025-07-26,28,32,16,2.0,25.2,730.9,1170.0,0.0,285.6808,Histórico
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Histórico
0,2025-07-21,71,80,27,2.963,38.3,1732.2,2338.7,0.0,534.7783000000001,Offline
1,2025-07-22,90,96,25,3.84,54.0,2117.1,2691.9,0.0,850.1191,Offline
2,2025-07-23,82,88,23,3.826,45.9,1474.0,2185.1,0.0,553.54,Offline
3,2025-07-24,92,95,28,3.393,43.8,2093.4,2874.9,0.0,723.4664,Offline
4,2025-07-25,77,87,26,3.346,41.4,1544.9,2200.5,0.0,545.3257,Offline
5,2025-07-26,28,33,14,2.357,29.9,731.0,1080.0,0.0,186.0597,Offline
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Offline
0,2025-07-21,71,80,29,2.759,35.3,1754.8,2283.2,0.0,676.3315,INSERT
1,2025-07-22,90,96,27,3.556,50.1,2073.1,2705.1,0.0,973.6854,INSERT
2,2025-07-23,82,88,25,3.52,42.2,1396.0,2205.8,0.0,598.7837,INSERT
3,2025-07-24,91,94,29,3.241,41.9,2037.8,2689.0,0.0,884.6973,INSERT
4,2025-07-25,77,87,30,2.9,35.8,1523.5,2244.8,0.0,697.4662999999999,INSERT
5,2025-07-26,28,33,15,2.2,28.2,731.0,1080.0,0.0,202.3036,INSERT
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,INSERT
0,2025-07-21,71,80,26,3.077,39.4,1721.1,2249.5,0.0,501.5194,INSERT_BUFFER
1,2025-07-22,90,96,26,3.692,52.0,2080.6,2710.0,0.0,853.8268,INSERT_BUFFER
2,2025-07-23,82,88,23,3.826,45.9,1395.9,2205.7,0.0,524.0802,INSERT_BUFFER
3,2025-07-24,91,94,27,3.481,45.0,2059.9,2748.9,0.0,690.4259,INSERT_BUFFER
4,2025-07-25,77,87,26,3.346,41.2,1557.1,2282.8,0.0,509.7838,INSERT_BUFFER
5,2025-07-26,28,33,14,2.357,30.3,731.0,1080.0,0.0,193.6105,INSERT_BUFFER
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,INSERT_BUFFER
0,2025-07-21,71,78,26,3.0,38.4,1684.3,2212.5,0.0,476.5177,REACT
1,2025-07-22,89,94,24,3.917,52.0,1883.1,2493.0,0.0,625.9572,REACT
2,2025-07-23,80,83,22,3.773,45.3,1442.2,2212.6,0.0,458.96,REACT
3,2025-07-24,91,92,28,3.286,42.6,2157.3,2842.6,0.0,680.1583,REACT
4,2025-07-25,77,83,26,3.192,39.3,1521.0,2236.5,0.0,507.6426,REACT
5,2025-07-26,28,32,14,2.286,27.5,731.0,1080.0,0.0,207.3284,REACT
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,REACT
0,2025-07-21,71,79,27,2.926,37.6,1685.2,2213.6,0.0,479.5388,REACT_BUFFER
1,2025-07-22,89,94,25,3.76,50.2,1833.9,2444.1,0.0,611.0069,REACT_BUFFER
2,2025-07-23,80,83,23,3.609,41.6,1400.7,2183.8,0.0,453.6863,REACT_BUFFER
3,2025-07-24,91,94,28,3.357,43.4,2106.6,2795.6,0.0,707.3348,REACT_BUFFER
4,2025-07-25,77,85,27,3.148,38.6,1460.6,2231.3,0.0,531.5816,REACT_BUFFER
5,2025-07-26,28,32,13,2.462,29.5,731.0,1080.0,0.0,202.83169999999998,REACT_BUFFER
6,2025-07-27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,REACT_BUFFER
