city,date,batch_id,seed,num_inserted,vt_labors,extra_time,dist,valid
149,2026-11-11,1,2,3,163,3276.3,818.76,True
149,2026-11-11,1,1,3,163,3305.1,815.45,True
149,2026-11-11,1,4,3,163,3243.1,796.14,True
149,2026-11-11,1,5,3,163,3276.3,812.09,True
149,2026-11-11,1,3,3,163,3332.3,814.07,True
149,2026-11-11,1,8,3,163,3284.3,796.92,True
149,2026-11-11,1,7,3,163,3302.7,822.12,True
149,2026-11-11,1,9,3,163,3276.3,803.23,True
149,2026-11-11,1,6,3,163,3276.3,818.76,True
149,2026-11-11,1,11,3,163,3276.3,803.23,True
149,2026-11-11,1,10,3,163,3291.1,826.4,True
149,2026-11-11,1,12,3,163,3276.3,803.23,True
149,2026-11-11,1,13,3,163,3302.7,822.12,True
149,2026-11-11,1,14,3,163,3276.3,803.23,True
149,2026-11-11,1,15,3,163,3276.3,805.65,True
149,2026-11-11,1,17,3,163,3276.3,803.23,True
149,2026-11-11,1,16,3,163,3276.3,803.23,True
149,2026-11-11,1,18,3,163,3276.3,818.76,True
149,2026-11-11,1,19,3,163,3294.9,809.27,True
149,2026-11-11,1,20,3,163,3276.3,818.76,True
149,2026-11-11,1,22,3,163,3276.3,805.65,True
149,2026-11-11,1,24,3,163,3276.3,798.98,True
149,2026-11-11,1,21,3,163,3276.3,803.02,True
149,2026-11-11,1,26,3,163,3276.3,803.23,True
149,2026-11-11,1,25,3,163,3276.3,805.65,True
149,2026-11-11,1,23,3,163,3317.5,799.75,True
149,2026-11-11,1,27,3,163,3276.3,803.23,True
149,2026-11-11,1,28,3,163,3276.3,803.02,True
149,2026-11-11,1,29,3,163,3317.5,806.43,True
149,2026-11-11,1,33,3,163,3291.1,826.4,True
149,2026-11-11,1,34,3,163,3276.3,803.23,True
149,2026-11-11,1,30,3,163,3276.3,803.23,True
149,2026-11-11,1,31,3,163,3305.1,815.45,True
149,2026-11-11,1,32,3,163,3254.1,812.61,True
149,2026-11-11,1,35,3,163,3294.9,809.27,True
149,2026-11-11,1,36,3,163,3284.3,796.92,True
149,2026-11-11,1,37,3,163,3254.1,812.61,True
149,2026-11-11,1,38,3,163,3317.5,806.43,True
149,2026-11-11,1,41,3,163,3291.1,826.4,True
149,2026-11-11,1,40,3,163,3276.3,803.23,True
149,2026-11-11,1,39,3,163,3276.3,805.65,True
149,2026-11-11,1,42,3,163,3276.3,803.23,True
149,2026-11-11,1,43,3,163,3276.3,798.98,True
149,2026-11-11,1,45,3,163,3291.1,826.4,True
149,2026-11-11,1,44,3,163,3276.3,812.09,True
149,2026-11-11,1,46,3,163,3276.3,803.23,True
149,2026-11-11,1,47,3,163,3261.7,806.44,True
149,2026-11-11,1,49,3,163,3284.4,819.7,True
149,2026-11-11,1,48,3,163,3294.9,809.27,True
149,2026-11-11,1,50,3,163,3317.5,799.75,True
149,2026-11-11,1,51,3,163,3276.3,798.98,True
149,2026-11-11,1,52,3,163,3276.3,803.23,True
149,2026-11-11,1,53,3,163,3243.1,796.14,True
149,2026-11-11,1,54,3,163,3317.5,806.43,True
149,2026-11-11,1,55,3,163,3276.3,803.23,True
149,2026-11-11,1,57,3,163,3294.9,813.52,True
149,2026-11-11,1,59,3,163,3284.4,819.7,True
149,2026-11-11,1,56,3,163,3305.7,813.29,True
149,2026-11-11,1,60,3,163,3332.3,814.07,True
149,2026-11-11,1,58,3,163,3294.9,813.52,True
149,2026-11-11,1,61,3,163,3276.3,818.76,True
149,2026-11-11,1,62,3,163,3284.4,819.7,True
149,2026-11-11,1,63,3,163,3332.3,814.07,True
149,2026-11-11,1,64,3,163,3276.3,803.23,True
