"city","name","data"
39,ANTIOQUIA-CONCEPCION,"{""city_code"": 206, ""city_name"": ""CONCEPCION"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
40,ANTIOQUIA-CONCORDIA,"{""city_code"": 209, ""city_name"": ""CONCORDIA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
41,ANTIOQUIA-COPACABANA,"{""city_code"": 212, ""city_name"": ""COPACABANA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
42,ANTIOQUIA-DABEIBA,"{""city_code"": 234, ""city_name"": ""DABEIBA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
44,ANTIOQUIA-EBEJICO,"{""city_code"": 240, ""city_name"": ""EBEJICO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
45,ANTIOQUIA-EL BAGRE,"{""city_code"": 250, ""city_name"": ""EL BAGRE"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
46,ANTIOQUIA-ENTRERRIOS,"{""city_code"": 264, ""city_name"": ""ENTRERRIOS"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
47,ANTIOQUIA-ENVIGADO,"{""city_code"": 266, ""city_name"": ""ENVIGADO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
48,ANTIOQUIA-FREDONIA,"{""city_code"": 282, ""city_name"": ""FREDONIA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
49,ANTIOQUIA-FRONTINO,"{""city_code"": 284, ""city_name"": ""FRONTINO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
50,ANTIOQUIA-GIRALDO,"{""city_code"": 306, ""city_name"": ""GIRALDO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
51,ANTIOQUIA-GIRARDOTA,"{""city_code"": 308, ""city_name"": ""GIRARDOTA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
52,ANTIOQUIA-GOMEZ PLATA,"{""city_code"": 310, ""city_name"": ""GOMEZ PLATA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
53,ANTIOQUIA-GRANADA,"{""city_code"": 313, ""city_name"": ""GRANADA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
54,ANTIOQUIA-GUADALUPE,"{""city_code"": 315, ""city_name"": ""GUADALUPE"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
55,ANTIOQUIA-GUARNE,"{""city_code"": 318, ""city_name"": ""GUARNE"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
56,ANTIOQUIA-GUATAPE,"{""city_code"": 321, ""city_name"": ""GUATAPE"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
57,ANTIOQUIA-HELICONIA,"{""city_code"": 347, ""city_name"": ""HELICONIA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
58,ANTIOQUIA-HISPANIA,"{""city_code"": 353, ""city_name"": ""HISPANIA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
60,ANTIOQUIA-ITUANGO,"{""city_code"": 361, ""city_name"": ""ITUANGO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
61,ANTIOQUIA-JARDIN,"{""city_code"": 364, ""city_name"": ""JARDIN"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
62,ANTIOQUIA-JERICO,"{""city_code"": 368, ""city_name"": ""JERICO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
63,ANTIOQUIA-LA CEJA,"{""city_code"": 376, ""city_name"": ""LA CEJA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
472,CUNDINAMARCA-CHIA,"{""city_code"": 175, ""city_name"": ""CHIA"", ""department_code"": 25, ""department_name"": ""CUNDINAMARCA""}"
64,ANTIOQUIA-LA ESTRELLA,"{""city_code"": 380, ""city_name"": ""LA ESTRELLA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
65,ANTIOQUIA-LA PINTADA,"{""city_code"": 390, ""city_name"": ""LA PINTADA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
66,ANTIOQUIA-LA UNION,"{""city_code"": 400, ""city_name"": ""LA UNION"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
67,ANTIOQUIA-LIBORINA,"{""city_code"": 411, ""city_name"": ""LIBORINA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
68,ANTIOQUIA-MACEO,"{""city_code"": 425, ""city_name"": ""MACEO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
69,ANTIOQUIA-MARINILLA,"{""city_code"": 440, ""city_name"": ""MARINILLA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
70,ANTIOQUIA-MONTEBELLO,"{""city_code"": 467, ""city_name"": ""MONTEBELLO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
71,ANTIOQUIA-MURINDO,"{""city_code"": 475, ""city_name"": ""MURINDO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
72,ANTIOQUIA-MUTATA,"{""city_code"": 480, ""city_name"": ""MUTATA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
73,ANTIOQUIA-NARIÑO,"{""city_code"": 483, ""city_name"": ""NARIÑO"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
74,ANTIOQUIA-NECOCLI,"{""city_code"": 490, ""city_name"": ""NECOCLI"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
75,ANTIOQUIA-NECHI,"{""city_code"": 495, ""city_name"": ""NECHI"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
76,ANTIOQUIA-OLAYA,"{""city_code"": 501, ""city_name"": ""OLAYA"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
77,ANTIOQUIA-PE_OL,"{""city_code"": 541, ""city_name"": ""PE_OL"", ""department_code"": 5, ""department_name"": ""ANTIOQUIA""}"
