instance,distance_method,optimization_variable,city,date,alpha,iteration,objective_value,vt_labors,extra_time,dist
instAD2,haversine,hybrid,844,2026-01-05,0.0,7,5,5,144.1,29.72
instAD2,haversine,hybrid,844,2026-01-05,0.0,15,5,5,144.1,29.72
instAD2,haversine,hybrid,844,2026-01-05,0.0,23,5,5,144.1,29.72
instAD2,haversine,hybrid,844,2026-01-05,0.0,31,5,5,144.1,29.72
instAD2,haversine,hybrid,844,2026-01-05,0.0,39,5,5,144.1,29.72
instAD2,haversine,hybrid,844,2026-01-05,0.0,47,5,5,144.1,29.72
instAD2,haversine,hybrid,844,2026-01-05,0.0,55,5,5,144.1,29.72
instAD2,haversine,hybrid,844,2026-01-05,0.0,63,5,5,144.1,29.72
instAD2,haversine,hybrid,844,2026-01-05,0.0,71,5,5,144.1,29.72
instAD2,haversine,hybrid,844,2026-01-05,0.0,78,5,5,144.1,29.72
instAD2,haversine,hybrid,844,2026-01-05,0.0,86,5,5,144.1,29.72
instAD2,haversine,hybrid,844,2026-01-05,0.0,94,5,5,144.1,29.72
instAD2,haversine,hybrid,844,2026-01-05,0.0,102,5,5,144.1,29.72
instAD2,haversine,hybrid,844,2026-01-05,0.0,110,5,5,144.1,29.72
instAD2,haversine,hybrid,844,2026-01-05,0.0,118,5,5,144.1,29.72
instAD2,haversine,hybrid,844,2026-01-05,0.0,126,5,5,144.1,29.72
instAD2,haversine,hybrid,844,2026-01-05,0.0,134,5,5,144.1,29.72
instAD2,haversine,hybrid,844,2026-01-05,0.0,142,5,5,144.1,29.72
instAD2,haversine,hybrid,844,2026-01-05,0.0,150,5,5,144.1,29.72
instAD2,haversine,hybrid,830,2026-01-05,0.0,7,1,1,0.0,6.92
instAD2,haversine,hybrid,830,2026-01-05,0.0,15,1,1,0.0,6.92
instAD2,haversine,hybrid,830,2026-01-05,0.0,23,1,1,0.0,6.92
instAD2,haversine,hybrid,830,2026-01-05,0.0,31,1,1,0.0,6.92
instAD2,haversine,hybrid,830,2026-01-05,0.0,39,1,1,0.0,6.92
instAD2,haversine,hybrid,830,2026-01-05,0.0,47,1,1,0.0,6.92
instAD2,haversine,hybrid,830,2026-01-05,0.0,55,1,1,0.0,6.92
instAD2,haversine,hybrid,830,2026-01-05,0.0,63,1,1,0.0,6.92
instAD2,haversine,hybrid,830,2026-01-05,0.0,71,1,1,0.0,6.92
instAD2,haversine,hybrid,830,2026-01-05,0.0,78,1,1,0.0,6.92
instAD2,haversine,hybrid,830,2026-01-05,0.0,86,1,1,0.0,6.92
instAD2,haversine,hybrid,830,2026-01-05,0.0,94,1,1,0.0,6.92
